nation,players,matched_to_club,match_rate,national_minutes,low_minutes_players,missing_club_players,stale_players
Albania,19,7,0.3684,3099,10,12,12
Argentina,29,23,0.7931,14593,12,6,6
Australia,20,3,0.15,4166,9,17,17
Austria,19,16,0.8421,4182,6,3,3
Belgium,27,14,0.5185,7139,11,13,13
Bolivia,22,5,0.2273,3043,15,17,17
Brazil,36,12,0.3333,9768,18,24,24
Cameroon,22,8,0.3636,3135,14,14,14
Canada,30,11,0.3667,9659,13,19,19
Chile,20,6,0.3,3022,10,14,14
Colombia,24,5,0.2083,6379,11,19,19
Costa Rica,37,10,0.2703,6169,22,27,27
Croatia,25,14,0.56,10982,5,11,11
Czech Republic,23,10,0.4348,3012,16,13,13
Denmark,27,21,0.7778,7214,12,6,6
Ecuador,27,6,0.2222,7281,11,21,21
England,31,30,0.9677,12933,15,1,1
France,27,23,0.8519,14195,7,4,4
Georgia,20,6,0.3,4070,9,14,14
Germany,32,30,0.9375,8613,14,2,2
Ghana,20,11,0.55,3236,11,9,9
Hungary,20,7,0.35,3130,10,13,13
Iran,21,2,0.0952,3239,12,19,19
Italy,21,18,0.8571,4097,10,3,3
Jamaica,20,4,0.2,3037,12,16,16
Japan,22,11,0.5,4432,9,11,11
Mexico,32,8,0.25,6269,15,24,24
Morocco,25,10,0.4,7474,10,15,15
Netherlands,33,20,0.6061,11820,11,13,13
Panama,21,5,0.2381,4033,10,16,16
Paraguay,20,9,0.45,3068,13,11,11
Peru,24,5,0.2083,3018,16,19,19
Poland,30,11,0.3667,7204,14,19,19
Portugal,30,19,0.6333,11017,10,11,11
Qatar,20,1,0.05,3088,10,19,19
Romania,21,9,0.4286,4032,10,12,12
Saudi Arabia,23,7,0.3043,3237,13,16,16
Scotland,18,9,0.5,3055,8,9,9
Senegal,20,13,0.65,4172,10,7,7
Serbia,27,17,0.6296,6237,12,10,10
Slovakia,20,11,0.55,4374,8,9,9
Slovenia,18,5,0.2778,4349,7,13,13
South Korea,21,7,0.3333,4241,11,14,14
Spain,37,23,0.6216,11952,17,14,14
Switzerland,30,22,0.7333,9560,15,8,8
Tunisia,21,4,0.1905,3178,14,17,17
Turkey,25,8,0.32,5184,13,17,17
Ukraine,23,8,0.3478,3070,14,15,15
United States,28,13,0.4643,7197,14,15,15
Uruguay,27,10,0.3704,9625,8,17,17
Venezuela,22,9,0.4091,4292,11,13,13
Wales,18,7,0.3889,3175,9,11,11
