team,p_champion,p_final,p_semi,p_qf,p_r16,p_r32
France,0.1354,0.2091,0.3074,0.4472,0.648,0.9171
Portugal,0.0974,0.1664,0.2616,0.3964,0.5872,0.89
Argentina,0.0906,0.1523,0.2405,0.3929,0.5741,0.8846
Germany,0.058,0.101,0.1827,0.3009,0.5319,0.8326
Croatia,0.0579,0.1011,0.1718,0.2895,0.4775,0.7905
Brazil,0.045,0.0849,0.1597,0.2949,0.5045,0.8463
England,0.0392,0.0741,0.1393,0.2463,0.4288,0.7548
Netherlands,0.0377,0.07,0.1339,0.2535,0.4596,0.8129
Uruguay,0.0334,0.0671,0.1269,0.2284,0.4128,0.7841
Switzerland,0.0268,0.0569,0.1141,0.2261,0.4438,0.7741
Mexico,0.0242,0.0498,0.1033,0.206,0.4071,0.7587
Canada,0.0229,0.0492,0.1042,0.2125,0.4157,0.7543
Belgium,0.0208,0.0458,0.0955,0.2023,0.3991,0.7583
Czechia,0.0189,0.0428,0.0906,0.1975,0.3997,0.7457
Spain,0.0165,0.0351,0.0759,0.1504,0.3102,0.6733
Ghana,0.0164,0.0362,0.0798,0.1597,0.3234,0.6321
Ecuador,0.0161,0.04,0.0902,0.1791,0.3717,0.7077
Colombia,0.0149,0.0324,0.0701,0.1489,0.3083,0.6606
Japan,0.0142,0.0306,0.0711,0.1579,0.3368,0.7008
USA,0.0142,0.0342,0.0721,0.1635,0.3562,0.7433
Austria,0.0137,0.0341,0.0772,0.1533,0.315,0.6585
Saudi Arabia,0.0136,0.0325,0.0716,0.1515,0.3024,0.6662
Morocco,0.0113,0.0268,0.0672,0.1467,0.315,0.6612
Paraguay,0.0105,0.0258,0.064,0.1487,0.3256,0.7034
Senegal,0.0088,0.0231,0.0584,0.1297,0.2891,0.6045
Türkiye,0.0087,0.0214,0.0547,0.1335,0.3188,0.6903
Egypt,0.0082,0.0198,0.0487,0.1257,0.298,0.6404
Bosnia and Herzegovina,0.008,0.0186,0.0468,0.1179,0.2774,0.6049
Iran,0.0076,0.0206,0.0547,0.1285,0.2999,0.6502
Ivory Coast,0.0075,0.017,0.0415,0.1025,0.2493,0.5602
Norway,0.0074,0.0191,0.0453,0.1063,0.2513,0.5509
South Africa,0.0072,0.02,0.05,0.1265,0.2848,0.6297
Sweden,0.0071,0.0201,0.0495,0.1178,0.2726,0.6122
New Zealand,0.0071,0.0179,0.0458,0.1178,0.2871,0.6274
Haiti,0.0069,0.0204,0.0485,0.1178,0.2718,0.6169
Cape Verde,0.0067,0.0176,0.0424,0.1012,0.2306,0.5584
DR Congo,0.0065,0.0184,0.0446,0.0994,0.2316,0.5512
Iraq,0.0063,0.0163,0.0436,0.1058,0.2444,0.5538
Panama,0.0061,0.0161,0.0396,0.0933,0.2191,0.5001
Curaçao,0.0057,0.0168,0.043,0.1046,0.2526,0.5627
Algeria,0.0056,0.015,0.0407,0.1039,0.2351,0.5446
Uzbekistan,0.0053,0.0151,0.0412,0.0965,0.2179,0.5443
Jordan,0.005,0.0157,0.0418,0.1003,0.2338,0.5462
Scotland,0.0044,0.0114,0.031,0.0839,0.2177,0.5519
Qatar,0.0042,0.0124,0.0347,0.097,0.2342,0.5526
South Korea,0.0042,0.0103,0.0315,0.0905,0.2314,0.5552
Tunisia,0.0036,0.0117,0.0308,0.0824,0.2088,0.5416
Australia,0.0023,0.007,0.0205,0.0631,0.1883,0.5387
